name,type,budgetCode,fiscalYear,source,allocatedBudget,internalBudget,centralBudget,provinceBudget,status
पारिश्रमिक कर्मचारी,नगर,२११११,2082/83,आन्तरिक,37500000.00,37500000.00,0.00,0.00,NOT_STARTED
पारिश्रमिक कर्मचारी,नगर,२११११,2082/83,आन्तरिक,25000000.00,25000000.00,0.00,0.00,NOT_STARTED
पारिश्रमिक पदाधिकारी,नगर,२१११२,2082/83,आन्तरिक,19000000.00,19000000.00,0.00,0.00,NOT_STARTED
पोशाक,नगर,२११२१,2082/83,आन्तरिक,2100000.00,2100000.00,0.00,0.00,NOT_STARTED
खाद्यान्न खर्च,नगर,२११२२,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
सगरमाथा चौधरी आँखा अस्पताल,नगर,२११२३,2082/83,आन्तरिक,70608.00,70608.00,0.00,0.00,NOT_STARTED
औषधीउपचार खर्च,नगर,२११२३,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
महंगी भत्ता,नगर,२११३२,2082/83,आन्तरिक,3000000.00,3000000.00,0.00,0.00,NOT_STARTED
महंगी भत्ता,नगर,२११३२,2082/83,आन्तरिक,2500000.00,2500000.00,0.00,0.00,NOT_STARTED
कर्मचारीको बैठक भत्ता,नगर,२११३४,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
फोकल शिक्षकहरुलाई बैठक,नगर,२११३४,2082/83,आन्तरिक,100000.00,100000.00,0.00,0.00,NOT_STARTED
चन्द्र नारायण पासमान (ठेक्का व्यवस्थापन बैठक),नगर,२११३४,2082/83,आन्तरिक,21000.00,21000.00,0.00,0.00,NOT_STARTED
कर्मचारी प्रोत्साहन तथा पुरस्कार,नगर,२११३५,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
बैठक भत्ता ( लहान नं. २४ को पदाधिकारी ),नगर,२११४१,2082/83,आन्तरिक,36000.00,36000.00,0.00,0.00,NOT_STARTED
पदाधिकारी बैठक भत्ता,नगर,२११४१,2082/83,आन्तरिक,9000000.00,9000000.00,0.00,0.00,NOT_STARTED
कर्मचारीको योगदानमा आधारित निवृतभरण तथा उपदान कोष खर्च,नगर,२१२१२,2082/83,आन्तरिक,10000000.00,10000000.00,0.00,0.00,NOT_STARTED
कर्मचारीको योगदानमा आधारित बीमा कोष खर्च,नगर,२१२१३,2082/83,आन्तरिक,525000.00,525000.00,0.00,0.00,NOT_STARTED
नेपाल विधुत प्रधिकरण कृषि सिचाई मिटर महशुल,नगर,२२१११,2082/83,आन्तरिक,4076583.00,4076583.00,0.00,0.00,NOT_STARTED
पानी तथा बिजुली,नगर,२२१११,2082/83,आन्तरिक,1500000.00,1500000.00,0.00,0.00,NOT_STARTED
सूचना प्रविधि व्यवस्थापन,नगर,२२११२,2082/83,आन्तरिक,500000.00,500000.00,0.00,0.00,NOT_STARTED
संचार महसुल,नगर,२२११२,2082/83,आन्तरिक,3000000.00,3000000.00,0.00,0.00,NOT_STARTED
इन्धन (पदाधिकारी),नगर,२२२११,2082/83,आन्तरिक,3500000.00,3500000.00,0.00,0.00,NOT_STARTED
इन्धन (कार्यालय प्रयोजन),नगर,२२२१२,2082/83,आन्तरिक,7000000.00,7000000.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-जगदम्बा कन्सट्रक्सन सोलुसन प्रा लि,नगर,२२२१३,2082/83,आन्तरिक,250395.00,250395.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-उषा इन्टरप्राईजेज,नगर,२२२१३,2082/83,आन्तरिक,300657.00,300657.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-न्यू सगरमाथा वर्कशप,नगर,२२२१३,2082/83,आन्तरिक,76750.00,76750.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-जानकी ट्रेड सेन्टर,नगर,२२२१३,2082/83,आन्तरिक,17027.00,17027.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-बुद्धमाया गाडी मर्मत सेन्टर,नगर,२२२१३,2082/83,आन्तरिक,116107.00,116107.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-मैनावत्ती ट्रेडर्स एण्ड सप्लायर्स,नगर,२२२१३,2082/83,आन्तरिक,69947.00,69947.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-शाह इन्जिनियरिङ्ग वर्कशप,नगर,२२२१३,2082/83,आन्तरिक,217751.00,217751.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-विराट ट्रेडर्स एण्ड सप्लायर्स,नगर,२२२१३,2082/83,आन्तरिक,220654.00,220654.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-भगवती ट्याकटर पार्टस,नगर,२२२१३,2082/83,आन्तरिक,28588.00,28588.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-दुगर ब्रदर्स एण्ड सन्स प्रा लि,नगर,२२२१३,2082/83,आन्तरिक,27116.00,27116.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-लाल स्टोर्स,नगर,२२२१३,2082/83,आन्तरिक,80441.00,80441.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-शिवु वर्कसप,नगर,२२२१३,2082/83,आन्तरिक,81937.00,81937.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-विवेक अटोमोवाईलस प्रा लि,नगर,२२२१३,2082/83,आन्तरिक,66912.00,66912.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-राजदेवी वर्कशप,नगर,२२२१३,2082/83,आन्तरिक,21400.00,21400.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च,नगर,२२२१३,2082/83,आन्तरिक,5000000.00,5000000.00,0.00,0.00,NOT_STARTED
सवारी साधन मर्मत खर्च-मनकामना ट्रेड एण्ड सर्भिस लिङ्क,नगर,२२२१३,2082/83,आन्तरिक,16250.00,16250.00,0.00,0.00,NOT_STARTED
राजदेवी वर्कसप लहान १०,नगर,२२२१३,2082/83,आन्तरिक,65000.00,65000.00,0.00,0.00,NOT_STARTED
बिमा तथा नवीकरण खर्च,नगर,२२२१४,2082/83,आन्तरिक,2000000.00,2000000.00,0.00,0.00,NOT_STARTED
मेशिनरी तथा औजार मर्मत सम्भार तथा सञ्चालन खर्च,नगर,२२२२१,2082/83,आन्तरिक,1500000.00,1500000.00,0.00,0.00,NOT_STARTED
निर्मित सार्वजनिक सम्पत्तिको मर्मत सम्भार खर्च,नगर,२२२३१,2082/83,आन्तरिक,1000000.00,1000000.00,0.00,0.00,NOT_STARTED
मसलन्द तथा कार्यालय सामाग्री,नगर,२२३११,2082/83,आन्तरिक,4000000.00,4000000.00,0.00,0.00,NOT_STARTED
पुस्तक तथा सामग्री खर्च,नगर,२२३१३,2082/83,आन्तरिक,150000.00,150000.00,0.00,0.00,NOT_STARTED
इन्धन - अन्य प्रयोजन,नगर,२२३१४,2082/83,आन्तरिक,100000.00,100000.00,0.00,0.00,NOT_STARTED
पत्रपत्रिका छपाई तथा सूचना प्रकाशन खर्च,नगर,२२३१५,2082/83,आन्तरिक,4000000.00,4000000.00,0.00,0.00,NOT_STARTED
